Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1076359844688112,2025-08-12 17:30:01,https://www.facebook.com/1115814590742637/posts/1076359844688112,2025-12-16,0,0,0,172,4259,0,0,0,84,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1073960894928007,2025-08-09 18:30:02,https://www.facebook.com/1115814590742637/posts/1073960894928007,2025-12-16,0,0,0,30,2310,0,0,0,34,6,0,0,0,0,2026-01-15 14:58:28
103640919705348_1072284175095679,2025-08-07 17:30:04,https://www.facebook.com/1115814590742637/posts/1072284175095679,2025-12-16,0,0,0,64,2538,0,0,0,28,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1712655996281841,2025-08-07 13:34:46,https://www.facebook.com/1115814590742637/posts/1712655996281841?substory_index=1712655996281841,2025-12-16,0,0,0,34,797,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1071523838505046,2025-08-06 18:30:03,https://www.facebook.com/1115814590742637/posts/1071523838505046,2025-12-16,0,0,0,145,55405,0,0,0,41,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1071411155182981,2025-08-06 15:08:50,https://www.facebook.com/1115814590742637/posts/1071411155182981,2025-12-16,0,0,0,132,3961,0,0,0,44,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_730827542914995,2025-08-01 16:36:08,https://www.facebook.com/events/730827542914995/,2025-12-16,0,0,0,21,823,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1067211618936268,2025-08-01 12:32:47,https://www.facebook.com/1115814590742637/posts/1067211618936268,2025-12-16,0,0,0,485,3386,0,0,0,80,1,0,2,0,0,2026-01-15 14:58:28
103640919705348_1064189092571854,2025-07-28 17:30:07,https://www.facebook.com/1115814590742637/posts/1064189092571854,2025-12-16,0,0,0,68,2612,0,0,0,34,0,0,2,0,0,2026-01-15 14:58:28
103640919705348_1061701299487300,2025-07-25 12:05:04,https://www.facebook.com/1115814590742637/posts/1061701299487300,2025-12-16,0,0,0,140,2304,0,0,0,73,4,0,3,0,1,2026-01-15 14:58:28
103640919705348_1061111459546284,2025-07-24 18:30:03,https://www.facebook.com/1115814590742637/posts/1061111459546284,2025-12-16,0,0,0,315,12654,0,0,0,76,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1061016356222461,2025-07-24 15:30:03,https://www.facebook.com/1115814590742637/posts/1061016356222461,2025-12-16,0,0,0,497,7167,0,0,0,254,1,3,28,1,23,2026-01-15 14:58:28
103640919705348_779211051197666,2025-07-23 17:30:24,https://www.facebook.com/events/779211051197666/,2025-12-16,0,0,0,24,617,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1060210352969728,2025-07-23 13:55:02,https://www.facebook.com/1115814590742637/posts/1060210352969728,2025-12-16,0,0,0,50,2167,0,0,0,55,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1059604763030287,2025-07-22 18:36:04,https://www.facebook.com/1115814590742637/posts/1059604763030287,2025-12-16,0,0,0,39,1384,0,0,0,30,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1058806239776806,2025-07-21 17:40:02,https://www.facebook.com/1115814590742637/posts/1058806239776806,2025-12-16,0,0,0,62,2563,0,0,0,33,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1057283699929060,2025-07-19 16:30:03,https://www.facebook.com/1115814590742637/posts/1057283699929060,2025-12-16,0,0,0,57,1301,0,0,0,26,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1056501150007315,2025-07-18 15:30:07,https://www.facebook.com/1115814590742637/posts/1056501150007315,2025-12-16,0,0,0,83,1545,0,0,0,32,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1055122983478465,2025-07-16 17:30:02,https://www.facebook.com/1115814590742637/posts/1055122983478465,2025-12-16,0,0,0,54,1772,0,0,0,38,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1054387103552053,2025-07-15 18:00:07,https://www.facebook.com/1115814590742637/posts/1054387103552053,2025-12-16,0,0,0,103,1730,0,0,0,35,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1054303536893743,2025-07-15 15:30:03,https://www.facebook.com/1115814590742637/posts/1054303536893743,2025-12-16,0,0,0,72,1266,0,0,0,40,0,0,1,0,0,2026-01-15 14:58:28
